configuration,evaluation_scope,file_name,perturbation,status,rejection_reason,original_prediction_kg,perturbed_prediction_kg,delta_kg
random_forest,baseline,123e681e-0fcd-4138-8212-b85901c9f5fc.png,expansion,eligible,,347.465694,409.439093,61.973399
random_forest,baseline,123e681e-0fcd-4138-8212-b85901c9f5fc.png,scale_grow,eligible,,347.465694,342.447229,-5.018465
random_forest,baseline,123e681e-0fcd-4138-8212-b85901c9f5fc.png,scale_shrink,eligible,,347.465694,341.488238,-5.977456
random_forest,baseline,123e681e-0fcd-4138-8212-b85901c9f5fc.png,shift_down,eligible,,347.465694,347.465694,0.000000
random_forest,baseline,123e681e-0fcd-4138-8212-b85901c9f5fc.png,shift_left,eligible,,347.465694,347.465694,0.000000
random_forest,baseline,123e681e-0fcd-4138-8212-b85901c9f5fc.png,shift_right,eligible,,347.465694,347.465694,0.000000
random_forest,baseline,123e681e-0fcd-4138-8212-b85901c9f5fc.png,shift_up,eligible,,347.465694,347.465694,0.000000
random_forest,baseline,1445f474-b22d-4157-b0bb-0ceef7bd9dc8.png,contraction,eligible,,183.022909,159.441074,-23.581836
random_forest,baseline,1445f474-b22d-4157-b0bb-0ceef7bd9dc8.png,expansion,eligible,,183.022909,206.291399,23.268490
random_forest,baseline,1445f474-b22d-4157-b0bb-0ceef7bd9dc8.png,scale_grow,eligible,,183.022909,180.153259,-2.869650
random_forest,baseline,1445f474-b22d-4157-b0bb-0ceef7bd9dc8.png,scale_shrink,eligible,,183.022909,182.074634,-0.948276
random_forest,baseline,1445f474-b22d-4157-b0bb-0ceef7bd9dc8.png,shift_down,eligible,,183.022909,183.022909,0.000000
random_forest,baseline,1445f474-b22d-4157-b0bb-0ceef7bd9dc8.png,shift_left,eligible,,183.022909,183.022909,0.000000
random_forest,baseline,1445f474-b22d-4157-b0bb-0ceef7bd9dc8.png,shift_right,eligible,,183.022909,183.022909,0.000000
random_forest,baseline,1445f474-b22d-4157-b0bb-0ceef7bd9dc8.png,shift_up,eligible,,183.022909,183.022909,0.000000
random_forest,baseline,152282d7-d52e-4491-ab39-405f11d4a1ec.png,contraction,rejected,insufficient_expansion_margin,183.740759,,
random_forest,baseline,152282d7-d52e-4491-ab39-405f11d4a1ec.png,expansion,rejected,insufficient_expansion_margin,183.740759,,
random_forest,baseline,152282d7-d52e-4491-ab39-405f11d4a1ec.png,scale_grow,eligible,,183.740759,174.314051,-9.426709
random_forest,baseline,152282d7-d52e-4491-ab39-405f11d4a1ec.png,scale_shrink,eligible,,183.740759,168.205844,-15.534916
random_forest,baseline,152282d7-d52e-4491-ab39-405f11d4a1ec.png,shift_down,eligible,,183.740759,183.740759,0.000000
