file_name,status,rejection_reason
9a5f4e4d-cccc-495a-b721-7a610f6c8c71.png,rejected,insufficient_expansion_margin
9d023237-a108-4365-ace7-1d32e14c3b6c.png,eligible,
9dfd1f11-3061-4a5e-88c3-38824d6bd7b6.png,eligible,
a027e781-b5f5-4b49-9976-1d274d8a56fb.png,eligible,
a25608d2-a61b-4fd0-a9be-01de332898a2.png,eligible,
a67e048e-d65d-4899-a7a9-7f3671168150.png,eligible,
a8e11e8c-24ce-42d2-b10c-b27546d5f0a6.png,eligible,
acb03904-c452-4325-b015-60dc880ab32e.png,eligible,
ad0f6b05-2695-4836-b1c1-be5bc1fc7739.png,eligible,
b10b0d02-1031-40c9-bed9-717faaed76ae.png,eligible,
b3282bf8-424d-48bd-8888-2f6194f5c1db.png,eligible,
b5a332ae-daef-44fa-a7b3-2774983685c7.png,eligible,
b5c829bd-7daa-412b-879a-6a9507a9ff45.png,eligible,
b6c9cf79-ae76-4df0-be26-c0d2fea79e0d.png,eligible,
b96f0653-7b5d-4981-8efd-ddb4dc40e0d4.png,rejected,insufficient_expansion_margin
bb519b0b-7dd5-45c7-a658-62acbc2bd737.png,eligible,
bc185085-735b-4237-ae7e-523891ed0cf4.png,eligible,
c042ea6c-64ee-4f47-82c7-29dfabb4b370.png,eligible,
c0c4a39a-8ad2-4ae0-ba0d-6b8ad8eda517.png,rejected,contraction_topology_violation
c1109015-2676-4e45-8a56-a873801c9a8c.png,eligible,
c8a2f6df-dfee-427b-935c-f8d460dd6d5a.png,rejected,contraction_topology_violation
cad50242-7ecb-44de-86f7-908896219dba.png,eligible,
caf4a07a-50de-457d-bd9a-d095fbd8f1b6.png,rejected,contraction_topology_violation
cbda216b-3e9b-482e-95d2-69c114dfc2e6.png,eligible,
cc76dba5-6749-465a-baad-1a7a2d9e625a.png,rejected,expansion_topology_violation
cd5c763c-d829-4234-9df3-a7eac7a6cca2.png,eligible,
cecd4cb1-cbbf-4018-94c4-b840918240bd.png,eligible,
d1b6ac73-d17e-48f7-aff6-600ce98e1989.png,eligible,
d2d39358-ef20-4013-aced-9caa7ebae255.png,rejected,contraction_topology_violation
d4dd40e9-a257-40b2-be37-04c011f0e67f.png,eligible,
d5cb9f9d-9eea-49a3-a4f8-25cb8f85bf3f.png,rejected,contraction_topology_violation
d68e75fb-36b2-4c74-b276-b3a54ca35f94.png,eligible,
d7c2b5cb-3a6e-44a3-bbe6-a330fb520783.png,eligible,
d9d10b66-99a2-4294-8441-070ac5e36180.png,rejected,contraction_topology_violation
da449364-83c9-485e-85b8-07295c431701.png,eligible,
da9ce291-91f3-4054-86bf-26cf67969478.png,rejected,contraction_topology_violation
dc00f939-0603-4243-bb4d-64e3de37324d.png,eligible,
dcb3a85d-28b5-46db-aade-85a77d19106f.png,rejected,contraction_topology_violation
e11ddba4-ecdc-4d65-a9a9-9f7ee0ade27e.png,eligible,
f6450174-b86e-4c9a-8707-c3781b75016d.png,rejected,contraction_topology_violation
f7071e9b-b2ef-4034-87c4-28a84ec7c1ed.png,eligible,
fa0afb1a-a9d3-42ff-af2f-bf30c32b5fe3.png,eligible,
fe0de2c9-1b5d-4b80-993f-d010d630ea05.png,eligible,
ff5a5ae3-6afe-496c-853e-97c02c50f3c5.png,eligible,
