experiment,baseline,target,scope,fold,repetition,permutation_seed,n,reference_mae_kg,result_mae_kg,delta_mae_kg,effect
permutation,dense,bbox_height,fold,2,3,90353431,27,43.306228,42.811144,-0.495084,neutral
permutation,dense,bbox_height,fold,2,4,3299650634,27,43.306228,47.357157,4.050929,harm
permutation,dense,bbox_height,fold,2,5,3306166803,27,43.306228,46.429508,3.123280,harm
permutation,dense,bbox_height,fold,2,6,1152081005,27,43.306228,44.137878,0.831650,neutral
permutation,dense,bbox_height,fold,2,7,2536299951,27,43.306228,45.061035,1.754807,harm
permutation,dense,bbox_height,fold,2,8,3041041879,27,43.306228,44.956395,1.650167,harm
permutation,dense,bbox_height,fold,2,9,2588211768,27,43.306228,44.099857,0.793629,neutral
permutation,dense,bbox_height,fold,3,0,582259589,26,58.930772,56.277508,-2.653264,improvement
permutation,dense,bbox_height,fold,3,1,3440901651,26,58.930772,58.416495,-0.514276,neutral
permutation,dense,bbox_height,fold,3,2,3762169529,26,58.930772,58.384542,-0.546229,neutral
permutation,dense,bbox_height,fold,3,3,3454763683,26,58.930772,54.487534,-4.443238,improvement
permutation,dense,bbox_height,fold,3,4,2038422325,26,58.930772,54.915856,-4.014916,improvement
permutation,dense,bbox_height,fold,3,5,2056947311,26,58.930772,56.710003,-2.220769,improvement
permutation,dense,bbox_height,fold,3,6,3328780686,26,58.930772,53.902071,-5.028701,improvement
permutation,dense,bbox_height,fold,3,7,3313011264,26,58.930772,56.607399,-2.323373,improvement
permutation,dense,bbox_height,fold,3,8,1026490300,26,58.930772,58.537524,-0.393247,neutral
permutation,dense,bbox_height,fold,3,9,2839192347,26,58.930772,56.573976,-2.356796,improvement
permutation,dense,bbox_height,fold,4,0,1718484835,26,66.590015,71.828920,5.238905,harm
permutation,dense,bbox_height,fold,4,1,1390207100,26,66.590015,69.402600,2.812585,harm
permutation,dense,bbox_height,fold,4,2,1147275737,26,66.590015,68.179852,1.589837,harm
permutation,dense,bbox_height,fold,4,3,4112584814,26,66.590015,70.213506,3.623491,harm
permutation,dense,bbox_height,fold,4,4,3637265170,26,66.590015,71.066610,4.476595,harm
permutation,dense,bbox_height,fold,4,5,1439152082,26,66.590015,67.046472,0.456457,neutral
permutation,dense,bbox_height,fold,4,6,1697456981,26,66.590015,66.811467,0.221453,neutral
permutation,dense,bbox_height,fold,4,7,1859323250,26,66.590015,69.084752,2.494737,harm
permutation,dense,bbox_height,fold,4,8,3750363084,26,66.590015,72.928375,6.338360,harm
permutation,dense,bbox_height,fold,4,9,2593610677,26,66.590015,72.558466,5.968452,harm
permutation,dense,bbox_height,fold,5,0,2322795899,26,51.972007,56.366126,4.394119,harm
permutation,dense,bbox_height,fold,5,1,85620716,26,51.972007,54.615376,2.643368,harm
permutation,dense,bbox_height,fold,5,2,2777961977,26,51.972007,56.001682,4.029674,harm
permutation,dense,bbox_height,fold,5,3,2356850197,26,51.972007,56.368573,4.396565,harm
permutation,dense,bbox_height,fold,5,4,3611485839,26,51.972007,59.184131,7.212123,harm
permutation,dense,bbox_height,fold,5,5,425353936,26,51.972007,55.439818,3.467810,harm
permutation,dense,bbox_height,fold,5,6,1572211369,26,51.972007,58.593997,6.621989,harm
permutation,dense,bbox_height,fold,5,7,1435715587,26,51.972007,59.123798,7.151790,harm
permutation,dense,bbox_height,fold,5,8,320365203,26,51.972007,58.771550,6.799542,harm
permutation,dense,bbox_height,fold,5,9,1140286487,26,51.972007,61.437440,9.465433,harm
permutation,dense,bbox_height,oof,,0,,132,54.852306,57.509552,2.657246,harm
permutation,dense,bbox_height,oof,,1,,132,54.852306,58.075982,3.223677,harm
permutation,dense,bbox_height,oof,,2,,132,54.852306,56.523110,1.670804,harm
permutation,dense,bbox_height,oof,,3,,132,54.852306,56.233203,1.380898,harm
permutation,dense,bbox_height,oof,,4,,132,54.852306,57.064505,2.212199,harm
permutation,dense,bbox_height,oof,,5,,132,54.852306,55.778107,0.925802,neutral
permutation,dense,bbox_height,oof,,6,,132,54.852306,55.574636,0.722331,neutral
permutation,dense,bbox_height,oof,,7,,132,54.852306,56.919661,2.067355,harm
permutation,dense,bbox_height,oof,,8,,132,54.852306,57.314944,2.462638,harm
permutation,dense,bbox_height,oof,,9,,132,54.852306,57.901269,3.048964,harm
permutation,dense,bbox_width,fold,1,0,225892424,27,53.941613,63.771402,9.829789,harm
permutation,dense,bbox_width,fold,1,1,2544360663,27,53.941613,62.819530,8.877917,harm
permutation,dense,bbox_width,fold,1,2,222567208,27,53.941613,59.623632,5.682019,harm
permutation,dense,bbox_width,fold,1,3,1469950343,27,53.941613,60.386710,6.445097,harm
permutation,dense,bbox_width,fold,1,4,4278900087,27,53.941613,64.081136,10.139524,harm
permutation,dense,bbox_width,fold,1,5,3428306098,27,53.941613,63.523883,9.582270,harm
permutation,dense,bbox_width,fold,1,6,675101734,27,53.941613,54.506189,0.564576,neutral
permutation,dense,bbox_width,fold,1,7,355717651,27,53.941613,61.143739,7.202126,harm
permutation,dense,bbox_width,fold,1,8,2568668883,27,53.941613,53.081051,-0.860562,neutral
permutation,dense,bbox_width,fold,1,9,486936665,27,53.941613,61.979882,8.038269,harm
permutation,dense,bbox_width,fold,2,0,4251611175,27,43.306228,54.638638,11.332410,harm
permutation,dense,bbox_width,fold,2,1,2065156594,27,43.306228,55.987005,12.680777,harm
permutation,dense,bbox_width,fold,2,2,2344017719,27,43.306228,51.411962,8.105735,harm
permutation,dense,bbox_width,fold,2,3,2700855901,27,43.306228,50.364093,7.057865,harm
permutation,dense,bbox_width,fold,2,4,3753142501,27,43.306228,52.738245,9.432017,harm
permutation,dense,bbox_width,fold,2,5,831445519,27,43.306228,47.280369,3.974141,harm
permutation,dense,bbox_width,fold,2,6,3689016546,27,43.306228,50.122835,6.816607,harm
permutation,dense,bbox_width,fold,2,7,1379128374,27,43.306228,55.561743,12.255515,harm
permutation,dense,bbox_width,fold,2,8,2999605904,27,43.306228,51.968562,8.662334,harm
permutation,dense,bbox_width,fold,2,9,3277255808,27,43.306228,56.781171,13.474943,harm
permutation,dense,bbox_width,fold,3,0,477614228,26,58.930772,67.133581,8.202810,harm
permutation,dense,bbox_width,fold,3,1,4000263244,26,58.930772,55.722335,-3.208437,improvement
permutation,dense,bbox_width,fold,3,2,1341629134,26,58.930772,65.220548,6.289776,harm
permutation,dense,bbox_width,fold,3,3,4202027627,26,58.930772,68.625712,9.694940,harm
permutation,dense,bbox_width,fold,3,4,3945127613,26,58.930772,61.089899,2.159127,harm
permutation,dense,bbox_width,fold,3,5,1168201104,26,58.930772,61.446417,2.515645,harm
permutation,dense,bbox_width,fold,3,6,800322976,26,58.930772,63.936401,5.005630,harm
permutation,dense,bbox_width,fold,3,7,3118720732,26,58.930772,69.797374,10.866603,harm
permutation,dense,bbox_width,fold,3,8,1462582876,26,58.930772,59.310060,0.379288,neutral
permutation,dense,bbox_width,fold,3,9,565410669,26,58.930772,62.227920,3.297148,harm
permutation,dense,bbox_width,fold,4,0,1661957416,26,66.590015,71.230721,4.640706,harm
permutation,dense,bbox_width,fold,4,1,2049818004,26,66.590015,70.047149,3.457134,harm
permutation,dense,bbox_width,fold,4,2,68040474,26,66.590015,69.930882,3.340868,harm
permutation,dense,bbox_width,fold,4,3,2369247114,26,66.590015,77.635224,11.045209,harm
permutation,dense,bbox_width,fold,4,4,3127936145,26,66.590015,68.505876,1.915862,harm
permutation,dense,bbox_width,fold,4,5,707275189,26,66.590015,71.967788,5.377774,harm
permutation,dense,bbox_width,fold,4,6,3314222776,26,66.590015,71.666496,5.076481,harm
permutation,dense,bbox_width,fold,4,7,1007107819,26,66.590015,69.337832,2.747817,harm
permutation,dense,bbox_width,fold,4,8,1874793446,26,66.590015,68.776100,2.186085,harm
permutation,dense,bbox_width,fold,4,9,3336015731,26,66.590015,71.657735,5.067720,harm
permutation,dense,bbox_width,fold,5,0,3730936141,26,51.972007,52.255298,0.283291,neutral
permutation,dense,bbox_width,fold,5,1,252723195,26,51.972007,57.556180,5.584173,harm
permutation,dense,bbox_width,fold,5,2,853269495,26,51.972007,62.008129,10.036122,harm
permutation,dense,bbox_width,fold,5,3,2551750297,26,51.972007,58.080137,6.108130,harm
permutation,dense,bbox_width,fold,5,4,4257813711,26,51.972007,51.025919,-0.946089,neutral
permutation,dense,bbox_width,fold,5,5,2644371594,26,51.972007,61.986865,10.014857,harm
permutation,dense,bbox_width,fold,5,6,1828286532,26,51.972007,59.218046,7.246039,harm
permutation,dense,bbox_width,fold,5,7,488349912,26,51.972007,62.552607,10.580600,harm
permutation,dense,bbox_width,fold,5,8,855083614,26,51.972007,56.552099,4.580092,harm
permutation,dense,bbox_width,fold,5,9,2076633371,26,51.972007,59.500317,7.528309,harm
permutation,dense,bbox_width,oof,,0,,132,54.852306,61.766520,6.914215,harm
permutation,dense,bbox_width,oof,,1,,132,54.852306,60.410937,5.558632,harm
permutation,dense,bbox_width,oof,,2,,132,54.852306,61.546285,6.693979,harm
permutation,dense,bbox_width,oof,,3,,132,54.852306,62.902572,8.050267,harm
permutation,dense,bbox_width,oof,,4,,132,54.852306,59.471874,4.619568,harm
permutation,dense,bbox_width,oof,,5,,132,54.852306,61.152596,6.300290,harm
permutation,dense,bbox_width,oof,,6,,132,54.852306,59.775213,4.922908,harm
permutation,dense,bbox_width,oof,,7,,132,54.852306,63.597963,8.745658,harm
permutation,dense,bbox_width,oof,,8,,132,54.852306,57.855563,3.003257,harm
permutation,dense,bbox_width,oof,,9,,132,54.852306,62.383210,7.530904,harm
permutation,dense,center_to_end_occupancy_ratio,fold,1,0,952473669,27,53.941613,53.590043,-0.351570,neutral
permutation,dense,center_to_end_occupancy_ratio,fold,1,1,890760286,27,53.941613,59.948078,6.006466,harm
permutation,dense,center_to_end_occupancy_ratio,fold,1,2,146698890,27,53.941613,54.514010,0.572398,neutral
permutation,dense,center_to_end_occupancy_ratio,fold,1,3,2865544163,27,53.941613,59.250687,5.309074,harm
permutation,dense,center_to_end_occupancy_ratio,fold,1,4,4288589237,27,53.941613,54.689739,0.748127,neutral
permutation,dense,center_to_end_occupancy_ratio,fold,1,5,468821503,27,53.941613,59.332428,5.390815,harm
permutation,dense,center_to_end_occupancy_ratio,fold,1,6,3234557498,27,53.941613,58.367729,4.426117,harm
permutation,dense,center_to_end_occupancy_ratio,fold,1,7,4270415511,27,53.941613,56.134123,2.192510,harm
permutation,dense,center_to_end_occupancy_ratio,fold,1,8,3740345256,27,53.941613,53.153815,-0.787797,neutral
permutation,dense,center_to_end_occupancy_ratio,fold,1,9,1907904380,27,53.941613,60.566645,6.625032,harm
permutation,dense,center_to_end_occupancy_ratio,fold,2,0,442096774,27,43.306228,49.743032,6.436804,harm
permutation,dense,center_to_end_occupancy_ratio,fold,2,1,4079964017,27,43.306228,42.578104,-0.728124,neutral
permutation,dense,center_to_end_occupancy_ratio,fold,2,2,1475382375,27,43.306228,49.607805,6.301577,harm
permutation,dense,center_to_end_occupancy_ratio,fold,2,3,2602485015,27,43.306228,44.815393,1.509165,harm
permutation,dense,center_to_end_occupancy_ratio,fold,2,4,2920597865,27,43.306228,48.174262,4.868034,harm
permutation,dense,center_to_end_occupancy_ratio,fold,2,5,1650934121,27,43.306228,41.152065,-2.154163,improvement
permutation,dense,center_to_end_occupancy_ratio,fold,2,6,3341104807,27,43.306228,41.913199,-1.393029,improvement
permutation,dense,center_to_end_occupancy_ratio,fold,2,7,4195043013,27,43.306228,51.576387,8.270159,harm
permutation,dense,center_to_end_occupancy_ratio,fold,2,8,2665873799,27,43.306228,51.659716,8.353488,harm
permutation,dense,center_to_end_occupancy_ratio,fold,2,9,1094137936,27,43.306228,48.576376,5.270149,harm
permutation,dense,center_to_end_occupancy_ratio,fold,3,0,1940135952,26,58.930772,59.608871,0.678099,neutral
permutation,dense,center_to_end_occupancy_ratio,fold,3,1,347325359,26,58.930772,61.588673,2.657901,harm
permutation,dense,center_to_end_occupancy_ratio,fold,3,2,4062753238,26,58.930772,60.148800,1.218029,harm
permutation,dense,center_to_end_occupancy_ratio,fold,3,3,148969557,26,58.930772,58.126145,-0.804626,neutral
permutation,dense,center_to_end_occupancy_ratio,fold,3,4,3301436586,26,58.930772,55.245547,-3.685225,improvement
permutation,dense,center_to_end_occupancy_ratio,fold,3,5,676655091,26,58.930772,54.211977,-4.718794,improvement
permutation,dense,center_to_end_occupancy_ratio,fold,3,6,1726612076,26,58.930772,56.849153,-2.081619,improvement
permutation,dense,center_to_end_occupancy_ratio,fold,3,7,3995690490,26,58.930772,63.635859,4.705087,harm
permutation,dense,center_to_end_occupancy_ratio,fold,3,8,2445629997,26,58.930772,59.465892,0.535120,neutral
permutation,dense,center_to_end_occupancy_ratio,fold,3,9,3731664374,26,58.930772,56.810814,-2.119958,improvement
permutation,dense,center_to_end_occupancy_ratio,fold,4,0,1219862156,26,66.590015,58.246414,-8.343601,improvement
permutation,dense,center_to_end_occupancy_ratio,fold,4,1,2917438554,26,66.590015,56.763264,-9.826751,improvement
permutation,dense,center_to_end_occupancy_ratio,fold,4,2,2877562520,26,66.590015,65.119771,-1.470243,improvement
permutation,dense,center_to_end_occupancy_ratio,fold,4,3,2592803138,26,66.590015,63.669269,-2.920746,improvement
permutation,dense,center_to_end_occupancy_ratio,fold,4,4,167929118,26,66.590015,55.512806,-11.077209,improvement
permutation,dense,center_to_end_occupancy_ratio,fold,4,5,3657485136,26,66.590015,63.724470,-2.865544,improvement
permutation,dense,center_to_end_occupancy_ratio,fold,4,6,1644633566,26,66.590015,70.366742,3.776727,harm
permutation,dense,center_to_end_occupancy_ratio,fold,4,7,3598507031,26,66.590015,68.283606,1.693592,harm
permutation,dense,center_to_end_occupancy_ratio,fold,4,8,182215283,26,66.590015,65.678444,-0.911570,neutral
permutation,dense,center_to_end_occupancy_ratio,fold,4,9,4060560187,26,66.590015,63.335995,-3.254020,improvement
permutation,dense,center_to_end_occupancy_ratio,fold,5,0,428031558,26,51.972007,61.196390,9.224382,harm
permutation,dense,center_to_end_occupancy_ratio,fold,5,1,1596369572,26,51.972007,57.332228,5.360220,harm
permutation,dense,center_to_end_occupancy_ratio,fold,5,2,654680012,26,51.972007,49.477920,-2.494088,improvement
permutation,dense,center_to_end_occupancy_ratio,fold,5,3,1107348756,26,51.972007,54.416884,2.444876,harm
permutation,dense,center_to_end_occupancy_ratio,fold,5,4,1053357982,26,51.972007,52.001947,0.029939,neutral
permutation,dense,center_to_end_occupancy_ratio,fold,5,5,3228131698,26,51.972007,61.487514,9.515507,harm
permutation,dense,center_to_end_occupancy_ratio,fold,5,6,2717744656,26,51.972007,58.967826,6.995818,harm
permutation,dense,center_to_end_occupancy_ratio,fold,5,7,2585186329,26,51.972007,51.613994,-0.358013,neutral
permutation,dense,center_to_end_occupancy_ratio,fold,5,8,3116478505,26,51.972007,58.998415,7.026408,harm
permutation,dense,center_to_end_occupancy_ratio,fold,5,9,1654601000,26,51.972007,53.485129,1.513121,harm
permutation,dense,center_to_end_occupancy_ratio,oof,,0,,132,54.852306,56.404065,1.551759,harm
permutation,dense,center_to_end_occupancy_ratio,oof,,1,,132,54.852306,55.575721,0.723416,neutral
permutation,dense,center_to_end_occupancy_ratio,oof,,2,,132,54.852306,55.717408,0.865102,neutral
permutation,dense,center_to_end_occupancy_ratio,oof,,3,,132,54.852306,55.994727,1.142421,harm
permutation,dense,center_to_end_occupancy_ratio,oof,,4,,132,54.852306,53.099211,-1.753095,improvement
permutation,dense,center_to_end_occupancy_ratio,oof,,5,,132,54.852306,55.894730,1.042424,harm
permutation,dense,center_to_end_occupancy_ratio,oof,,6,,132,54.852306,57.184559,2.332253,harm
permutation,dense,center_to_end_occupancy_ratio,oof,,7,,132,54.852306,58.182225,3.329920,harm
permutation,dense,center_to_end_occupancy_ratio,oof,,8,,132,54.852306,57.709673,2.857368,harm
permutation,dense,center_to_end_occupancy_ratio,oof,,9,,132,54.852306,56.524939,1.672634,harm
permutation,dense,center_vertical_occupancy,fold,1,0,1475245477,27,53.941613,68.059419,14.117806,harm
permutation,dense,center_vertical_occupancy,fold,1,1,1971119061,27,53.941613,66.645058,12.703445,harm
permutation,dense,center_vertical_occupancy,fold,1,2,514103961,27,53.941613,66.612274,12.670661,harm
permutation,dense,center_vertical_occupancy,fold,1,3,697991252,27,53.941613,56.885594,2.943981,harm
permutation,dense,center_vertical_occupancy,fold,1,4,440202666,27,53.941613,61.118369,7.176756,harm
permutation,dense,center_vertical_occupancy,fold,1,5,2849827905,27,53.941613,71.083328,17.141715,harm
permutation,dense,center_vertical_occupancy,fold,1,6,904350370,27,53.941613,70.891276,16.949663,harm
permutation,dense,center_vertical_occupancy,fold,1,7,2357546195,27,53.941613,63.721094,9.779482,harm
permutation,dense,center_vertical_occupancy,fold,1,8,3590993864,27,53.941613,66.877851,12.936239,harm
permutation,dense,center_vertical_occupancy,fold,1,9,2332723539,27,53.941613,62.783655,8.842042,harm
permutation,dense,center_vertical_occupancy,fold,2,0,1682006233,27,43.306228,57.602993,14.296765,harm
permutation,dense,center_vertical_occupancy,fold,2,1,3734875920,27,43.306228,47.317881,4.011653,harm
permutation,dense,center_vertical_occupancy,fold,2,2,2650890476,27,43.306228,59.459051,16.152823,harm
permutation,dense,center_vertical_occupancy,fold,2,3,545619371,27,43.306228,57.313101,14.006873,harm
permutation,dense,center_vertical_occupancy,fold,2,4,3250565208,27,43.306228,52.769797,9.463569,harm
permutation,dense,center_vertical_occupancy,fold,2,5,1340968441,27,43.306228,54.131826,10.825599,harm
permutation,dense,center_vertical_occupancy,fold,2,6,1853920140,27,43.306228,52.178740,8.872512,harm
permutation,dense,center_vertical_occupancy,fold,2,7,4045667363,27,43.306228,53.733386,10.427158,harm
permutation,dense,center_vertical_occupancy,fold,2,8,3996043834,27,43.306228,56.916756,13.610529,harm
permutation,dense,center_vertical_occupancy,fold,2,9,326917010,27,43.306228,49.296678,5.990450,harm
permutation,dense,center_vertical_occupancy,fold,3,0,465215,26,58.930772,62.372190,3.441418,harm
permutation,dense,center_vertical_occupancy,fold,3,1,2990417006,26,58.930772,58.723300,-0.207472,neutral
permutation,dense,center_vertical_occupancy,fold,3,2,2987056239,26,58.930772,65.620086,6.689314,harm
permutation,dense,center_vertical_occupancy,fold,3,3,3829779892,26,58.930772,67.474652,8.543881,harm
permutation,dense,center_vertical_occupancy,fold,3,4,4264207524,26,58.930772,63.312301,4.381529,harm
permutation,dense,center_vertical_occupancy,fold,3,5,3943847129,26,58.930772,65.753962,6.823191,harm
permutation,dense,center_vertical_occupancy,fold,3,6,1101149480,26,58.930772,68.181733,9.250962,harm
permutation,dense,center_vertical_occupancy,fold,3,7,963744357,26,58.930772,68.520177,9.589406,harm
permutation,dense,center_vertical_occupancy,fold,3,8,2962170762,26,58.930772,68.480181,9.549410,harm
permutation,dense,center_vertical_occupancy,fold,3,9,1363007,26,58.930772,67.975531,9.044759,harm
permutation,dense,center_vertical_occupancy,fold,4,0,4069318063,26,66.590015,74.310722,7.720708,harm
permutation,dense,center_vertical_occupancy,fold,4,1,3775745667,26,66.590015,69.159542,2.569527,harm
permutation,dense,center_vertical_occupancy,fold,4,2,2798704888,26,66.590015,74.247310,7.657296,harm
permutation,dense,center_vertical_occupancy,fold,4,3,1789495972,26,66.590015,70.885724,4.295709,harm
permutation,dense,center_vertical_occupancy,fold,4,4,456286217,26,66.590015,76.926122,10.336107,harm
permutation,dense,center_vertical_occupancy,fold,4,5,2918565774,26,66.590015,70.360190,3.770175,harm
permutation,dense,center_vertical_occupancy,fold,4,6,2529539423,26,66.590015,65.557071,-1.032943,improvement
permutation,dense,center_vertical_occupancy,fold,4,7,3970924535,26,66.590015,70.765684,4.175669,harm
permutation,dense,center_vertical_occupancy,fold,4,8,2735936310,26,66.590015,71.927729,5.337715,harm
permutation,dense,center_vertical_occupancy,fold,4,9,1952043264,26,66.590015,71.799611,5.209597,harm
permutation,dense,center_vertical_occupancy,fold,5,0,2966749494,26,51.972007,52.737653,0.765646,neutral
permutation,dense,center_vertical_occupancy,fold,5,1,984640520,26,51.972007,63.998545,12.026538,harm
permutation,dense,center_vertical_occupancy,fold,5,2,1559104404,26,51.972007,62.574896,10.602888,harm
permutation,dense,center_vertical_occupancy,fold,5,3,569284791,26,51.972007,62.041812,10.069805,harm
permutation,dense,center_vertical_occupancy,fold,5,4,587408751,26,51.972007,57.264666,5.292659,harm
permutation,dense,center_vertical_occupancy,fold,5,5,2062723202,26,51.972007,55.536225,3.564218,harm
permutation,dense,center_vertical_occupancy,fold,5,6,3838019513,26,51.972007,57.746353,5.774346,harm
permutation,dense,center_vertical_occupancy,fold,5,7,3860219936,26,51.972007,52.613777,0.641770,neutral
permutation,dense,center_vertical_occupancy,fold,5,8,1540595837,26,51.972007,53.048548,1.076541,harm
permutation,dense,center_vertical_occupancy,fold,5,9,2804212883,26,51.972007,63.744257,11.772250,harm
permutation,dense,center_vertical_occupancy,oof,,0,,132,54.852306,63.013787,8.161481,harm
permutation,dense,center_vertical_occupancy,oof,,1,,132,54.852306,61.105420,6.253114,harm
permutation,dense,center_vertical_occupancy,oof,,2,,132,54.852306,65.662313,10.810008,harm
permutation,dense,center_vertical_occupancy,oof,,3,,132,54.852306,62.831982,7.979677,harm
permutation,dense,center_vertical_occupancy,oof,,4,,132,54.852306,62.197430,7.345125,harm
permutation,dense,center_vertical_occupancy,oof,,5,,132,54.852306,63.361507,8.509202,harm
permutation,dense,center_vertical_occupancy,oof,,6,,132,54.852306,62.890186,8.037880,harm
permutation,dense,center_vertical_occupancy,oof,,7,,132,54.852306,61.823194,6.970888,harm
permutation,dense,center_vertical_occupancy,oof,,8,,132,54.852306,63.426684,8.574379,harm
permutation,dense,center_vertical_occupancy,oof,,9,,132,54.852306,63.012677,8.160371,harm
permutation,dense,centroid_x_offset,fold,1,0,2646409411,27,53.941613,52.469993,-1.471620,improvement
permutation,dense,centroid_x_offset,fold,1,1,953721213,27,53.941613,49.454642,-4.486971,improvement
permutation,dense,centroid_x_offset,fold,1,2,4241739345,27,53.941613,56.209569,2.267957,harm
permutation,dense,centroid_x_offset,fold,1,3,1055920743,27,53.941613,54.488528,0.546916,neutral
permutation,dense,centroid_x_offset,fold,1,4,2864808136,27,53.941613,56.585249,2.643636,harm
permutation,dense,centroid_x_offset,fold,1,5,1288843119,27,53.941613,57.095130,3.153518,harm
permutation,dense,centroid_x_offset,fold,1,6,2457004440,27,53.941613,57.113773,3.172161,harm
permutation,dense,centroid_x_offset,fold,1,7,243578638,27,53.941613,53.226277,-0.715336,neutral
permutation,dense,centroid_x_offset,fold,1,8,1990730713,27,53.941613,55.064017,1.122404,harm
permutation,dense,centroid_x_offset,fold,1,9,909109501,27,53.941613,59.435926,5.494314,harm
permutation,dense,centroid_x_offset,fold,2,0,789417543,27,43.306228,46.938274,3.632046,harm
permutation,dense,centroid_x_offset,fold,2,1,3451557624,27,43.306228,44.081638,0.775410,neutral
permutation,dense,centroid_x_offset,fold,2,2,4022070468,27,43.306228,45.401761,2.095533,harm
permutation,dense,centroid_x_offset,fold,2,3,2000006669,27,43.306228,48.800021,5.493793,harm
permutation,dense,centroid_x_offset,fold,2,4,1056028129,27,43.306228,46.747860,3.441632,harm
permutation,dense,centroid_x_offset,fold,2,5,3627294127,27,43.306228,43.051380,-0.254847,neutral
permutation,dense,centroid_x_offset,fold,2,6,3368762683,27,43.306228,44.225682,0.919454,neutral
permutation,dense,centroid_x_offset,fold,2,7,3420774699,27,43.306228,52.982330,9.676102,harm
permutation,dense,centroid_x_offset,fold,2,8,2477873811,27,43.306228,48.703200,5.396972,harm
permutation,dense,centroid_x_offset,fold,2,9,2315490723,27,43.306228,45.544838,2.238610,harm
permutation,dense,centroid_x_offset,fold,3,0,2032069452,26,58.930772,54.505691,-4.425081,improvement
permutation,dense,centroid_x_offset,fold,3,1,1145938995,26,58.930772,57.243403,-1.687368,improvement
permutation,dense,centroid_x_offset,fold,3,2,2164303134,26,58.930772,57.809154,-1.121618,improvement
permutation,dense,centroid_x_offset,fold,3,3,3899560055,26,58.930772,52.837592,-6.093180,improvement
permutation,dense,centroid_x_offset,fold,3,4,607824498,26,58.930772,58.381417,-0.549355,neutral
permutation,dense,centroid_x_offset,fold,3,5,26856051,26,58.930772,58.129439,-0.801332,neutral
permutation,dense,centroid_x_offset,fold,3,6,2929909740,26,58.930772,56.326752,-2.604019,improvement
permutation,dense,centroid_x_offset,fold,3,7,4057951185,26,58.930772,58.276053,-0.654718,neutral
permutation,dense,centroid_x_offset,fold,3,8,2098105785,26,58.930772,56.784890,-2.145882,improvement
permutation,dense,centroid_x_offset,fold,3,9,4038102275,26,58.930772,58.108103,-0.822669,neutral
permutation,dense,centroid_x_offset,fold,4,0,240925251,26,66.590015,57.416336,-9.173679,improvement
permutation,dense,centroid_x_offset,fold,4,1,2952678943,26,66.590015,56.645094,-9.944921,improvement
permutation,dense,centroid_x_offset,fold,4,2,594645740,26,66.590015,58.778527,-7.811488,improvement
permutation,dense,centroid_x_offset,fold,4,3,23731844,26,66.590015,67.963270,1.373255,harm
permutation,dense,centroid_x_offset,fold,4,4,2509308944,26,66.590015,64.281240,-2.308775,improvement
permutation,dense,centroid_x_offset,fold,4,5,3940529521,26,66.590015,61.764284,-4.825731,improvement
permutation,dense,centroid_x_offset,fold,4,6,2375591558,26,66.590015,58.716443,-7.873571,improvement
permutation,dense,centroid_x_offset,fold,4,7,2526088448,26,66.590015,58.039769,-8.550245,improvement
permutation,dense,centroid_x_offset,fold,4,8,3953444639,26,66.590015,59.077364,-7.512650,improvement
permutation,dense,centroid_x_offset,fold,4,9,803143207,26,66.590015,61.845024,-4.744990,improvement
permutation,dense,centroid_x_offset,fold,5,0,3828322206,26,51.972007,52.741959,0.769952,neutral
permutation,dense,centroid_x_offset,fold,5,1,951100111,26,51.972007,52.690298,0.718291,neutral
permutation,dense,centroid_x_offset,fold,5,2,273299426,26,51.972007,56.045705,4.073697,harm
permutation,dense,centroid_x_offset,fold,5,3,2445435083,26,51.972007,56.056755,4.084747,harm
permutation,dense,centroid_x_offset,fold,5,4,3046585406,26,51.972007,56.161393,4.189385,harm
permutation,dense,centroid_x_offset,fold,5,5,1775816960,26,51.972007,53.173293,1.201285,harm
permutation,dense,centroid_x_offset,fold,5,6,921406955,26,51.972007,56.615322,4.643315,harm
permutation,dense,centroid_x_offset,fold,5,7,1219495621,26,51.972007,52.954827,0.982819,neutral
permutation,dense,centroid_x_offset,fold,5,8,4262730927,26,51.972007,51.190600,-0.781407,neutral
permutation,dense,centroid_x_offset,fold,5,9,1147917874,26,51.972007,53.338980,1.366972,harm
permutation,dense,centroid_x_offset,oof,,0,,132,54.852306,52.767324,-2.084981,improvement
permutation,dense,centroid_x_offset,oof,,1,,132,54.852306,51.943396,-2.908910,improvement
permutation,dense,centroid_x_offset,oof,,2,,132,54.852306,54.787681,-0.064624,neutral
permutation,dense,centroid_x_offset,oof,,3,,132,54.852306,55.962794,1.110489,harm
permutation,dense,centroid_x_offset,oof,,4,,132,54.852306,56.359237,1.506931,harm
permutation,dense,centroid_x_offset,oof,,5,,132,54.852306,54.573471,-0.278834,neutral
permutation,dense,centroid_x_offset,oof,,6,,132,54.852306,54.540051,-0.312254,neutral
permutation,dense,centroid_x_offset,oof,,7,,132,54.852306,55.065676,0.213371,neutral
permutation,dense,centroid_x_offset,oof,,8,,132,54.852306,54.129463,-0.722843,neutral
permutation,dense,centroid_x_offset,oof,,9,,132,54.852306,55.606632,0.754326,neutral
permutation,dense,centroid_y_ratio,fold,1,0,2779099478,27,53.941613,61.413920,7.472307,harm
permutation,dense,centroid_y_ratio,fold,1,1,4282433465,27,53.941613,57.711124,3.769511,harm
permutation,dense,centroid_y_ratio,fold,1,2,809593646,27,53.941613,56.228348,2.286735,harm
